Title,City,State,Start,End,Language,Category
Abbott's Age of Progress,New York,NY,10/1/1859,10/1/1859,English,Literary periodicals.
"Abstainer Organ of the Grand Division of the Sons of Temperance of the Province of Nova Scotia, The",Halifax,NS,6/1/1859,6/1/1859,English,Temperance--Nova Scotia--Halifax--Periodicals.
"Accidental Record, The",New York,NY,9/1/1865,9/1/1865,English,"Insurance, Accident--Periodicals."
"Address Delivered before the Minnesota Historical Society at its Sixth Anniversary, February 1, 1856",St. Paul,MN,2/7/1853,2/1/1856,English,Minnesota--History.
"Adelphi Quarterly, The",Galesburg,IL,4/1/1861,4/1/1861,English,College student periodicals.
Advent Harbinger and Bible Advocate,Rochester,NY,1/1/1853,6/10/1854,English,Adventists--Periodicals.
Advent Herald,Boston,MA,1/1/1853,11/10/1863,English,Adventists--Periodicals.
"Advent Review and Sabbath Herald, The",Saratoga Springs,NY,1/6/1853,8/1/1854,English,Adventists--Periodicals.
Advocate and Family Guardian,New York,NY,1/1/1855,12/16/1865,English,Women--Social and moral questions--Periodicals.Women in the printing and publishing trades.
"Advocate of Moral Reform and Family Guardian, The",New York,NY,1/1/1853,12/15/1854,English,Women--Social and moral questions--Periodicals.Women in the printing and publishing trades.
Advocate of Peace,Boston,MA,1/1/1853,11/1/1865,English,"International relations--Periodicals.Peace--Periodicals.Arbitration, International--Periodicals."
"Aegis, The",Hanover,NH,6/1/1860,6/1/1860,English,College student periodicals.
"African Repository, The",Washington D.C.,USA,1/1/1853,12/2/1865,English,African Americans--Colonization--Africa--Periodicals.
"Age, The",New York,NY,1/1/1853,9/10/1853,English,Religious periodicals.
"Age, The",Richmond,VA,2/1/1864,4/1/1864,English,Literary periodicals.
"Agitator, The",Cleveland,OH,7/1/1858,4/1/1860,English,Women in the printing and publishing trades.Spiritualism--Periodicals.Women's rights--Periodicals.
"Agriculturist, The",Toronto,Ontario,1/1/1856,12/1/1857,English,Agriculture--Periodicals.Agriculture--Canada--Periodicals.
Albany Excelsior,Albany,NY,1/13/1855,1/13/1855,English,Periodicals.
All About Petroleum,New York,NY,4/11/1865,4/11/1865,English,Petroleum industry and trade--United States.
All the Year Round,New York,NY,4/30/1859,6/15/1861,English,Literary periodicals.
All the Year Round,London,England,3/15/1862,6/27/1863,English,Literary periodicals.
Allen's Quarterly Advertiser,Fairhaven,VT,5/1/1864,5/1/1864,English,Advertising periodicals.
"Alliance: A Monthly Tract for the People, Devoted to the Temperance Reform, The, The",New York,NY,1/1/1856,1/1/1856,English,Temperance periodicals.
Alpha Rho Offering,Claverack,NY,12/3/1855,12/3/1855,English,College student periodicals.
"Amateur, The",Detroit,MI,8/1/1859,6/1/1861,English,College student periodicals.
American Agriculturist,New York,NY,9/14/1853,12/1/1865,English,Agriculture--Periodicals.
"American and Foreign Christian Union, The",New York,NY,1/1/1853,12/1/1860,English,Missions--Periodicals.Anti-Catholicism--Periodicals.
American Annals of the Deaf and Dumb,Hartford,CT,4/1/1854,3/1/1861,English,Deaf--Periodicals.
