State,Town,Title,K1876,List_K1876,K1882,List_K1882,K1890,List_K1890,C1875,List_C1875,C1890,List_C1890,W1885,List_W1885,W1894,List_W1894,N1890,List_N1890,S1894,List_S1894,A1878,List_A1878,A1882,List_A1882,A1883,List_A1883,A1889,List_A1889,X1870,X1880,X1890,X1900,Latitude,Longitude,LCCN,Start,End,ChronAm
Arkansas,Batesville,Republican.,1,Kellogg,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,881,1264,2150,2327,35.77361111,-91.64138889,NA,NA,NA,0
Arkansas,Hope,Star of Hope.,1,Kellogg,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1233,1937,1644,33.66777778,-93.59,NA,NA,NA,0
Arkansas,Newport,News.,1,Kellogg,1,St. Louis,0,NA,0,NA,0,NA,0,NA,1,St. Louis,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,683,1571,2866,35.61194444,-91.26222222,NA,NA,NA,0
Arkansas,Pine Bluff,Jefferson Republican.,1,Kellogg,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,2081,3203,9952,11496,34.21666667,-92.01666667,NA,NA,NA,0
Arkansas,Smithville,Sketch Book.,1,Kellogg,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,36.08,-91.30388889,NA,NA,NA,0
Arkansas,Star,Herald.,1,Kellogg,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,204,251,33.94083333,-91.8425,NA,NA,NA,0
California,Grass Valley,Tidings.,1,Kellogg,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,4719,39.21916667,-121.0583333,NA,NA,NA,0
Colorado,Alma,Mount Lincoln News.,1,Kellogg,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,446,367,297,39.285942,-106.066319,NA,NA,NA,0
Colorado,Boulder,Colorado Banner.,1,Kellogg,1,St. Louis,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,343,3069,3330,6150,40.027435,-105.251945,NA,NA,NA,0
Colorado,Castle Rock,News.,1,Kellogg,0,NA,0,NA,0,NA,0,NA,0,NA,1,Denver,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,88,315,304,39.376089,-104.853487,NA,NA,NA,0
